ID	Currency
2024172	USD
1050135	USD
6661547	EUR
6667082	USD
6700982	USD
6669364	USD
6679915	USD
6661683	EUR
6697327	USD
6696226	CAD
6676947	USD
6673102	EUR
6668921	EUR
6670137	USD
6668854	GBP
6696650	CAD
6666306	GBP
6673115	EUR
6675418	USD
6669864	GBP
6664244	GBP
6680010	EUR
6680404	USD
6688216	USD
6664140	GBP
6665813	GBP
6696829	GBP
71511	USD
6677365	USD
6703509	USD
6685498	GBP
6698640	USD
6665204	GBP
6675647	USD
6654120	USD
6603906	USD
6667232	EUR
6703579	USD
6703526	EUR
6664900	GBP
6685330	USD
6673703	EUR
6659667	USD
6659981	USD
6696775	EUR
6673984	EUR
6686629	EUR
6686583	EUR
6682879	EUR
6693226	USD
6656859	USD
6695218	GBP
6660451	USD
6606699	USD
6699469	USD
6687414	CAD
6682194	USD
6693658	USD
6692612	GBP
6693926	USD
6682011	USD
6691767	USD
6686288	EUR
6673162	EUR
6693631	USD
6693670	USD
6681426	USD
6695981	USD
6683621	EUR
6678022	GBP
6697090	EUR
6671681	GBP
6691698	USD
6661625	USD
6664027	USD
6664972	GBP
6681769	GBP
6683628	USD
6664708	USD
6663903	GBP
6694865	EUR
6693721	USD
6685093	EUR
6697070	USD
23832	USD
6663965	GBP
6687730	EUR
6664773	EUR
6683395	USD
6693657	USD
6663432	USD
6689866	USD
6683833	EUR
6685591	USD
6679469	EUR
6692766	EUR
6662659	GBP
6683445	EUR
6667418	USD
6698800	USD
6696926	EUR
6634689	USD
6681488	USD
6703650	USD
6682756	USD
6679976	GBP
6693269	USD
6692635	USD
6672803	USD
6659503	USD
6689272	USD
6677106	USD
6685184	USD
6695203	GBP
6681716	GBP
6694738	GBP
6682510	EUR
6684035	GBP
6691832	USD
6683559	USD
6666638	EUR
6683144	EUR
6694386	GBP
6693728	USD
6672491	EUR
6692510	USD
6680323	EUR
6683322	USD
6663395	EUR
6698642	USD
6685120	USD
6688417	USD
6681496	EUR
6682165	EUR
6656016	EUR
6668105	GBP
6697300	USD
6695457	USD
6691604	USD
6667865	GBP
6655706	USD
6686388	USD
6675272	EUR
6679701	EUR
6673836	USD
6694880	GBP
6674347	USD
6668382	GBP
6690804	EUR
6695091	GBP
6664739	USD
6691886	USD
6695991	GBP
6688831	USD
6681732	EUR
6660008	EUR
6667495	EUR
6666262	EUR
6695174	USD
6687117	GBP
6683942	USD
6671204	EUR
2024189	USD
6663331	GBP
6688937	USD
6697343	EUR
6669708	GBP
6701699	USD
6702771	USD
6702042	USD
6701282	USD
6701042	USD
6701391	USD
6703306	USD
6701079	USD
6701087	USD
6702161	USD
6702642	USD
6700722	USD
6702217	USD
6684855	USD
6703215	USD
6702906	USD
6700737	USD
6700879	USD
6702040	USD
6701128	USD
6700934	USD
6683431	USD
2024517	USD
6661997	EUR
6650473	USD
6684017	EUR
6683759	GBP
6666058	USD
6667079	GBP
6663473	GBP
6680372	EUR
23890	USD
6658477	USD
6668201	USD
6672404	EUR
6667775	USD
6693502	EUR
6675990	USD
6692330	USD
6694408	EUR
6703875	USD
6665198	GBP
6693394	USD
6696588	EUR
6665051	EUR
21984	USD
6686079	USD
6663650	EUR
6687014	USD
6680803	GBP
6664362	USD
6697309	USD
23780	USD
6677460	GBP
6698512	USD
6658104	USD
20882	USD
21123	USD
2024433	USD
6702909	USD
6696900	USD
6703634	USD
23655	USD
6678719	GBP
6695098	USD
23822	USD
6682751	USD
6675326	USD
6695823	GBP
24037	USD
23063	USD
6661839	EUR
23866	USD
23888	USD
6695452	USD
2024364	USD
6675468	EUR
6675938	USD
24141	USD
6697255	USD
6677662	GBP
6691699	USD
6672232	EUR
6674053	USD
6690569	EUR
3597	USD
2024276	USD
6673702	EUR
2024180	USD
23873	USD
23663	USD
23936	USD
6694118	EUR
29847	USD
23803	USD
32069	USD
33003	USD
33317	USD
33329	USD
30142	USD
20519	USD
26211	USD
1	ger
2	ger
10	tem
11	tem
12	tem
13	tem
14	tem
15	tem
16	tem
17	tem
18	tem
19	tem
20	ger
21	USD
22	tem
23	tem
24	tem
25	tem
26	tem
27	tem
28	tem
29	tem
30	tem
31	ger
32	ger
33	ger
34	ger
35	tem
36	tem
70	tem
115	ger
116	ger
155	ger
180	ger
189	ger
190	ger
205	ger
250	ger
312	ger
340	ger
341	ger
342	ger
343	ger
344	ger
345	ger
346	ger
347	ger
348	ger
349	ger
350	ger
351	ger
352	ger
353	ger
354	ger
355	ger
356	ger
357	ger
358	ger
368	ger
392	ger
394	ger
396	ger
400	ger
450	ger
478	ger
500	ger
520	ger
521	ger
524	ger
553	ger
560	ger
561	ger
562	ger
563	ger
564	ger
605	ger
610	ger
700	ger
775	ger
1016	ger
1019	ger
1026	ger
1045	ger
1050	ger
1064	ger
1070	ger
1071	ger
1072	ger
1076	ger
1078	ger
1080	ger
1084	ger
1087	ger
1088	ger
1089	ger
1091	ger
1092	ger
1094	ger
1096	ger
1099	ger
1100	ger
1101	ger
1102	ger
1103	ger
1105	ger
1106	ger
1107	ger
1109	ger
1110	ger
1112	ger
1113	ger
1114	ger
1115	ger
1116	ger
1117	ger
1118	ger
1119	ger
1120	ger
1121	ger
1122	ger
1123	ger
1124	ger
1125	ger
1126	ger
1127	ger
1128	ger
1129	ger
1133	ger
1134	ger
1140	ger
1141	ger
1143	ger
1144	ger
1145	ger
1146	ger
1148	ger
1149	ger
1152	ger
1153	ger
1154	ger
1180	ger
1200	ger
1215	ger
1221	ger
1222	ger
1239	ger
1265	ger
1277	ger
1282	ger
1288	ger
1290	ger
1299	ger
1330	ger
1331	ger
1332	ger
1334	ger
1335	ger
1337	ger
1348	ger
1350	ger
1356	ger
1360	ger
1362	ger
1364	ger
1365	ger
1366	ger
1371	ger
1372	ger
1373	ger
1387	ger
1397	ger
1401	ger
1425	ger
1441	ger
1456	ger
1457	ger
1459	ger
1460	ger
1469	ger
1470	ger
1496	ger
1529	ger
1555	ger
1596	ger
1600	ger
1626	ger
1700	ger
1750	ger
1786	ger
1796	ger
1797	ger
1798	ger
1799	ger
1800	ger
1814	ger
1927	ger
1998	ger
3450	USD
3451	USD
3460	USC
3462	USD
3468	EUR
3469	EUR
3470	USD
3471	USD
3474	EUR
3475	USD
3476	USD
3477	USD
3482	EUR
3485	EUR
3486	EUR
3487	EUR
3493	GBP
3497	USD
3499	EUR
3502	USD
3503	EUR
3505	EUR
3508	USD
3509	EUR
3510	EUR
3511	USD
3520	USD
3522	EUR
3534	USD
3537	EUR
3539	EUR
3550	USD
3568	USD
3598	USD
3605	EUR
3609	USD
3613	USC
3614	EUR
3620	USD
3624	EUR
3628	USD
3631	EUR
3632	EUR
3642	EUR
3651	USD
3654	EUR
3660	USD
3663	EUR
3664	USD
3670	GBP
3682	USD
3686	USD
3687	USD
3690	USD
7001	ger
7002	ger
7003	ger
7004	ger
7005	ger
7006	ger
7011	ger
7012	ger
7013	ger
15560	ger
20034	USD
20035	USD
20039	USD
20040	USD
20041	USD
20043	USD
20044	USD
20045	USD
20046	USD
20047	USD
20048	USD
20049	USD
20050	USD
20054	USD
20057	USD
20058	USD
20059	USD
20060	USD
20061	USD
20062	USD
20064	USD
20065	USD
20066	USD
20067	USD
20068	USD
20070	USD
20071	USD
20073	USD
20074	USD
20075	USD
20076	USD
20077	USD
20078	USD
20081	USD
20082	USD
20083	USD
20084	USD
20085	USD
20086	USD
20087	USD
20088	USD
20089	USD
20090	USD
20093	USD
20094	USD
20095	USD
20096	USD
20098	USD
20099	USD
20100	USD
20101	USD
20103	USD
20104	USD
20105	USD
20107	USD
20108	USD
20109	USD
20110	USD
20111	USD
20113	USD
20114	USD
20116	USD
20117	USD
20121	USD
20122	USD
20123	USD
20124	USD
20125	USD
20126	USD
20130	USD
20132	USD
20133	USD
20134	USD
20135	USD
20138	USD
20145	USD
20146	USD
20148	USD
20149	USD
20150	USD
20151	USD
20155	USD
20156	USD
20159	USD
20161	USD
20162	USD
20163	USD
20164	USD
20165	USD
20167	USD
20168	USD
20169	USD
20170	USD
20171	USD
20172	USD
20179	USD
20180	USD
20182	USD
20184	USD
20187	USD
20188	USD
20189	USD
20190	USD
20191	USD
20192	USD
20193	USD
20195	USD
20196	USD
20197	USD
20199	USD
20200	USD
20202	USD
20203	USD
20204	USD
20214	USD
20219	USD
20222	USD
20224	USD
20225	USD
20227	USD
20230	USD
20232	USD
20236	USD
20238	USD
20239	USD
20240	USD
20241	USD
20242	USD
20243	USD
20244	USD
20247	USD
20250	USD
20251	USD
20252	USD
20253	USD
20254	USD
20256	USD
20257	USD
20261	USD
20262	USD
20264	USD
20266	USD
20268	USD
20269	USD
20271	USD
20272	USD
20274	USD
20275	USD
